              ip-1797  [001] dLh4.    26.580247: funcgraph_entry:        0.200 us   |                      scx_allow_ttwu_queue(); (ret=0x1)
              ip-1797  [001] dLh4.    26.580247: funcgraph_entry:                   |                      __smp_call_single_queue() {
              ip-1797  [001] dLh4.    26.580247: funcgraph_entry:        0.210 us   |                        call_function_single_prep_ipi(); (ret=0x1)
              ip-1797  [001] dLh4.    26.580248: funcgraph_entry:                   |                        native_send_call_func_single_ipi() {
              ip-1797  [001] dLh4.    26.580248: funcgraph_entry:        1.250 us   |                          x2apic_send_IPI(); (ret=0x0)
              ip-1797  [001] dLh4.    26.580250: funcgraph_exit:         1.760 us   |                        } (ret=0x0)
              ip-1797  [001] dLh4.    26.580250: funcgraph_exit:         2.740 us   |                      } (ret=0x0)
              ip-1797  [001] dLh4.    26.580250: funcgraph_exit:         3.710 us   |                    } (ret=0x1)
              ip-1797  [001] dLh4.    26.580250: funcgraph_entry:        0.240 us   |                    _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1797  [001] dLh2.    26.580251: funcgraph_exit:         6.780 us   |                  } (ret=0x1)
              ip-1797  [001] dLh2.    26.580251: funcgraph_exit:         7.240 us   |                } (ret=0x1)
              ip-1797  [001] dLh2.    26.580251: funcgraph_exit:         7.770 us   |              } (ret=0x1)
              ip-1797  [001] dLh2.    26.580251: funcgraph_exit:         8.550 us   |            } (ret=0x0)
              ip-1797  [001] dLh2.    26.580252: funcgraph_entry:        0.220 us   |            _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1797  [001] dLh1.    26.580252: funcgraph_exit:         9.930 us   |          } (ret=0x0)
              ip-1797  [001] dLh1.    26.580252: funcgraph_exit:       + 13.410 us  |        } (ret=0x0)
              ip-1797  [001] dLh1.    26.580253: funcgraph_entry:                   |        irq_exit_rcu() {
              ip-1797  [001] dL.1.    26.580253: funcgraph_entry:        0.210 us   |          sched_core_idle_cpu(); (ret=0x0)
              ip-1797  [001] dL.1.    26.580253: funcgraph_exit:         0.680 us   |        } (ret=0x0)
              ip-1797  [001] dL.1.    26.580254: funcgraph_entry:        0.220 us   |        raw_irqentry_exit_cond_resched(); (ret=0x0)
              ip-1797  [001] .L.1.    26.580254: funcgraph_exit:       + 60.910 us  |      } (ret=0x1)
              ip-1797  [001] .L.1.    26.580254: funcgraph_exit:       + 62.460 us  |    } (ret=0x0)
              ip-1797  [001] .L.1.    26.580255: funcgraph_exit:       + 69.460 us  |  } (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580506: funcgraph_entry:                   |  update_gid_event_work_handler() {
    kworker/u8:1-85    [001] ...1.    26.580506: funcgraph_entry:                   |    ib_enum_all_roce_netdevs() {
    kworker/u8:1-85    [001] ...1.    26.580507: funcgraph_entry:        0.350 us   |      down_read(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580507: funcgraph_entry:        0.220 us   |      __rcu_read_lock(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580508: funcgraph_entry:        0.230 us   |      __rcu_read_unlock(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580509: funcgraph_entry:                   |      ib_enum_roce_netdev() {
    kworker/u8:1-85    [001] ...1.    26.580509: funcgraph_entry:                   |        ib_device_get_netdev() {
    kworker/u8:1-85    [001] ...1.    26.580509: funcgraph_entry:        0.250 us   |          _raw_spin_lock(); (ret=0x0)
    kworker/u8:1-85    [001] ...2.    26.580510: funcgraph_entry:        0.230 us   |          _raw_spin_unlock(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580510: funcgraph_exit:         1.250 us   |        } (ret=0xffff8c6fc16d4000)
    kworker/u8:1-85    [001] ...1.    26.580511: funcgraph_entry:                   |        is_eth_port_of_netdev_filter() {
    kworker/u8:1-85    [001] ...1.    26.580511: funcgraph_entry:                   |          is_eth_port_of_netdev_filter.part.0() {
    kworker/u8:1-85    [001] ...1.    26.580511: funcgraph_entry:        0.210 us   |            __rcu_read_lock(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580512: funcgraph_entry:                   |            netdev_has_upper_dev_all_rcu() {
    kworker/u8:1-85    [001] ...1.    26.580512: funcgraph_entry:        0.250 us   |              netdev_walk_all_upper_dev_rcu(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580513: funcgraph_exit:         0.790 us   |            } (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580513: funcgraph_entry:        0.210 us   |            __rcu_read_unlock(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580513: funcgraph_exit:         2.290 us   |          } (ret=0x1)
    kworker/u8:1-85    [001] ...1.    26.580513: funcgraph_exit:         2.760 us   |        } (ret=0x1)
    kworker/u8:1-85    [001] ...1.    26.580514: funcgraph_entry:                   |        callback_for_addr_gid_device_scan() {
    kworker/u8:1-85    [001] ...1.    26.580514: funcgraph_entry:        0.520 us   |          roce_gid_type_mask_support.part.0(); (ret=0x4)
    kworker/u8:1-85    [001] ...1.    26.580515: funcgraph_entry:                   |          ib_cache_gid_del() {
    kworker/u8:1-85    [001] ...1.    26.580515: funcgraph_entry:                   |            _ib_cache_gid_del() {
    kworker/u8:1-85    [001] ...1.    26.580515: funcgraph_entry:        0.310 us   |              mutex_lock(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580516: funcgraph_entry:        1.270 us   |              find_gid(); (ret=0xffffffff)
    kworker/u8:1-85    [001] ...1.    26.580518: funcgraph_entry:        0.220 us   |              mutex_unlock(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580518: funcgraph_entry:                   |              _printk() {
    kworker/u8:1-85    [001] ...1.    26.580519: funcgraph_entry:                   |                vprintk() {
    kworker/u8:1-85    [001] ...1.    26.580519: funcgraph_entry:                   |                  vprintk_default() {
    kworker/u8:1-85    [001] ...1.    26.580519: funcgraph_entry:                   |                    vprintk_emit() {
    kworker/u8:1-85    [001] ...1.    26.580519: funcgraph_entry:        0.210 us   |                      panic_on_other_cpu(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580520: funcgraph_entry:                   |                      nbcon_get_default_prio() {
    kworker/u8:1-85    [001] ...1.    26.580520: funcgraph_entry:        0.210 us   |                        panic_on_this_cpu(); (ret=0xffffff00)
    kworker/u8:1-85    [001] ...1.    26.580521: funcgraph_entry:                   |                        nbcon_get_cpu_emergency_nesting() {
    kworker/u8:1-85    [001] ...1.    26.580521: funcgraph_entry:        0.210 us   |                          printk_percpu_data_ready(); (ret=0x1)
    kworker/u8:1-85    [001] ...1.    26.580521: funcgraph_exit:         0.680 us   |                        } (ret=0xffff8c703bd1d484)
    kworker/u8:1-85    [001] ...1.    26.580522: funcgraph_exit:         1.630 us   |                      } (ret=0x1)
    kworker/u8:1-85    [001] ...1.    26.580522: funcgraph_entry:                   |                      is_printk_legacy_deferred() {
    kworker/u8:1-85    [001] ...1.    26.580522: funcgraph_entry:        0.210 us   |                        is_printk_cpu_sync_owner(); (ret=0xffffff00)
    kworker/u8:1-85    [001] ...1.    26.580523: funcgraph_exit:         0.680 us   |                      } (ret=0xffffff00)
    kworker/u8:1-85    [001] ...1.    26.580523: funcgraph_entry:        0.220 us   |                      is_printk_force_console(); (ret=0x0)
    kworker/u8:1-85    [001] ...1.    26.580523: funcgraph_entry:                   |                      vprintk_store() {
    kworker/u8:1-85    [001] d..1.    26.580523: funcgraph_entry:        0.260 us   |                        local_clock(); (ret=0x62c8fc4ae)
    kworker/u8:1-85    [001] d..1.    26.580525: funcgraph_entry:        0.270 us   |                        printk_parse_prefix(); (ret=0x2)
    kworker/u8:1-85    [001] d..1.    26.580526: funcgraph_entry:        0.210 us   |                        is_printk_force_console(); (ret=0x0)
    kworker/u8:1-85    [001] d..1.    26.580526: funcgraph_entry:                   |                        prb_reserve() {
    kworker/u8:1-85    [001] d..1.    26.580527: funcgraph_entry:                   |                          data_alloc() {
    kworker/u8:1-85    [001] d..1.    26.580527: funcgraph_entry:        0.220 us   |                            data_push_tail(); (ret=0x1)
    kworker/u8:1-85    [001] d..1.    26.580528: funcgraph_exit:         0.710 us   |                          } (ret=0xffffffff9aac73b0)
