    kworker/u8:1-84    [000] d..1.    20.129333: funcgraph_entry:        0.300 us   |                          printk_parse_prefix(); (ret=0x2)
    kworker/u8:1-84    [000] d..1.    20.129333: funcgraph_exit:         1.700 us   |                        } (ret=0x55)
    kworker/u8:1-84    [000] d..1.    20.129334: funcgraph_entry:                   |                        prb_final_commit() {
    kworker/u8:1-84    [000] d..1.    20.129334: funcgraph_entry:        0.280 us   |                          _prb_commit(); (ret=0x0)
    kworker/u8:1-84    [000] d..1.    20.129335: funcgraph_entry:                   |                          desc_update_last_finalized() {
    kworker/u8:1-84    [000] d..1.    20.129335: funcgraph_entry:                   |                            _prb_read_valid() {
    kworker/u8:1-84    [000] d..1.    20.129335: funcgraph_entry:                   |                              desc_read_finalized_seq() {
    kworker/u8:1-84    [000] d..1.    20.129336: funcgraph_entry:        0.270 us   |                                desc_read(); (ret=0x2)
    kworker/u8:1-84    [000] d..1.    20.129336: funcgraph_exit:         0.840 us   |                              } (ret=0x0)
    kworker/u8:1-84    [000] d..1.    20.129336: funcgraph_exit:         1.430 us   |                            } (ret=0x1)
    kworker/u8:1-84    [000] d..1.    20.129337: funcgraph_entry:                   |                            _prb_read_valid() {
    kworker/u8:1-84    [000] d..1.    20.129337: funcgraph_entry:                   |                              desc_read_finalized_seq() {
    kworker/u8:1-84    [000] d..1.    20.129337: funcgraph_entry:        0.310 us   |                                desc_read(); (ret=0xffffffff)
    kworker/u8:1-84    [000] d..1.    20.129338: funcgraph_exit:         0.880 us   |                              } (ret=0xffffffea)
    kworker/u8:1-84    [000] d..1.    20.129338: funcgraph_entry:        0.270 us   |                              desc_read(); (ret=0x3)
    kworker/u8:1-84    [000] d..1.    20.129339: funcgraph_entry:        0.270 us   |                              panic_on_this_cpu(); (ret=0xffffff00)
    kworker/u8:1-84    [000] d..1.    20.129339: funcgraph_exit:         2.630 us   |                            } (ret=0x0)
    kworker/u8:1-84    [000] d..1.    20.129340: funcgraph_exit:         4.960 us   |                          } (ret=0x0)
    kworker/u8:1-84    [000] d..1.    20.129340: funcgraph_exit:         6.210 us   |                        } (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129340: funcgraph_exit:       + 15.890 us  |                      } (ret=0x55)
    kworker/u8:1-84    [000] ...2.    20.129341: funcgraph_entry:        0.260 us   |                      panic_on_other_cpu(); (ret=0x0)
    kworker/u8:1-84    [000] ...2.    20.129341: funcgraph_entry:                   |                      __down_trylock_console_sem.isra.0() {
    kworker/u8:1-84    [000] d..2.    20.129341: funcgraph_entry:        0.260 us   |                        __printk_safe_enter(); (ret=0x282)
    kworker/u8:1-84    [000] d..2.    20.129342: funcgraph_entry:                   |                        down_trylock() {
    kworker/u8:1-84    [000] d..4.    20.129343: funcgraph_entry:        0.320 us   |                          housekeeping_any_cpu(); (ret=0x0)
    kworker/u8:1-84    [000] d..5.    20.129343: funcgraph_entry:                   |                          arch_irq_work_raise() {
    kworker/u8:1-84    [000] d..5.    20.129344: funcgraph_entry:        3.200 us   |                            x2apic_send_IPI_self(); (ret=0x0)
    kworker/u8:1-84    [000] d..5.    20.129347: funcgraph_exit:         3.890 us   |                          } (ret=0x0)
    kworker/u8:1-84    [000] d..2.    20.129348: funcgraph_entry:        0.300 us   |                          _raw_spin_lock_irqsave(); (ret=0x96)
    kworker/u8:1-84    [000] d..3.    20.129348: funcgraph_entry:        0.280 us   |                          _raw_spin_unlock_irqrestore(); (ret=0x0)
    kworker/u8:1-84    [000] d..2.    20.129349: funcgraph_exit:         6.940 us   |                        } (ret=0x0)
    kworker/u8:1-84    [000] d..2.    20.129349: funcgraph_entry:        0.270 us   |                        __printk_safe_exit(); (ret=0x0)
